      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2013-05-11 19:28:52,    200,      16.66,           0,       0.10,       12.00,        0.00,        1.17,     200,       0
2013-05-11 19:29:07,    400,      14.62,           0,       0.03,       27.36,        0.00,        0.78,     400,       0
2013-05-11 19:29:20,    600,      13.70,           0,       0.03,       43.80,        0.00,        1.28,     600,       0
2013-05-11 19:29:35,    800,      14.79,           0,       0.04,       54.09,        0.00,        2.12,     800,       0
2013-05-11 19:29:51,   1000,      15.78,           1,       0.05,       63.37,        0.06,        3.03,    1000,       0
2013-05-11 19:30:07,   1200,      15.62,           1,       0.05,       76.82,        0.06,        3.84,    1200,       0
2013-05-11 19:30:22,   1400,      15.65,           1,       0.04,       89.46,        0.06,        4.02,    1400,       0
2013-05-11 19:30:42,   1600,      19.74,           1,       0.07,       81.05,        0.05,        5.51,    1600,       0
2013-05-11 19:31:00,   1800,      17.70,           2,       0.05,      101.69,        0.11,        5.27,    1800,       0
2013-05-11 19:31:16,   2000,      16.02,           2,       0.05,      124.84,        0.12,        6.64,    2000,       0
2013-05-11 19:31:52,   2190,      36.44,           2,       0.06,       60.10,        0.05,        3.89,    2190,      10
2013-05-11 19:32:09,   2400,      16.32,           2,       0.07,      147.06,        0.12,        9.65,    2400,       0
2013-05-11 19:32:43,   2595,      34.79,           3,       0.06,       74.59,        0.09,        4.74,    2595,       5
2013-05-11 19:33:01,   2800,      17.77,           3,       0.06,      157.57,        0.17,        9.91,    2800,       0
2013-05-11 19:33:18,   3000,      16.36,           3,       0.07,      183.37,        0.18,       13.39,    3000,       0
2013-05-11 19:33:54,   3199,      36.30,           3,       0.07,       88.13,        0.08,        6.36,    3199,       1
2013-05-11 19:34:11,   3400,      17.29,           3,       0.09,      196.65,        0.17,       18.01,    3400,       0
2013-05-11 19:34:28,   3600,      17.18,           4,       0.09,      209.55,        0.23,       18.58,    3600,       0
2013-05-11 19:34:52,   3800,      23.79,           4,       0.22,      159.73,        0.17,       34.45,    3800,       0
2013-05-11 19:35:10,   4000,      17.83,           4,       0.12,      224.34,        0.22,       27.92,    4000,       0
2013-05-11 19:35:29,   4200,      18.75,           4,       0.12,      224.00,        0.21,       27.85,    4200,       0
2013-05-11 19:35:47,   4400,      18.44,           5,       0.12,      238.61,        0.27,       28.24,    4400,       0
2013-05-11 19:36:06,   4600,      18.90,           5,       0.13,      243.39,        0.26,       31.04,    4600,       0
2013-05-11 19:36:25,   4800,      18.77,           5,       0.14,      255.73,        0.27,       34.89,    4800,       0
2013-05-11 19:36:50,   5000,      24.64,           5,       0.31,      202.92,        0.20,       62.23,    5000,       0
