      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2013-05-11 19:39:56,    200,      19.32,           0,       0.11,       10.35,        0.00,        1.17,     200,       0
2013-05-11 19:40:10,    400,      14.31,           0,       0.04,       27.95,        0.00,        1.02,     400,       0
2013-05-11 19:40:27,    600,      16.45,           0,       0.04,       36.47,        0.00,        1.58,     600,       0
2013-05-11 19:40:42,    800,      15.73,           1,       0.07,       50.86,        0.06,        3.71,     800,       0
2013-05-11 19:40:58,   1000,      15.94,           1,       0.04,       62.74,        0.06,        2.61,    1000,       0
2013-05-11 19:41:14,   1200,      15.31,           1,       0.07,       78.38,        0.07,        5.42,    1200,       0
2013-05-11 19:41:30,   1400,      15.89,           1,       0.04,       88.11,        0.06,        3.78,    1400,       0
2013-05-11 19:41:45,   1600,      15.82,           2,       0.04,      101.14,        0.13,        4.50,    1600,       0
2013-05-11 19:42:00,   1800,      14.89,           2,       0.05,      120.89,        0.13,        6.06,    1800,       0
2013-05-11 19:42:15,   2000,      14.57,           2,       0.06,      137.27,        0.14,        8.06,    2000,       0
2013-05-11 19:42:33,   2200,      18.04,           2,       0.07,      121.95,        0.11,        8.80,    2200,       0
2013-05-11 19:42:51,   2400,      17.86,           3,       0.06,      134.38,        0.17,        8.16,    2400,       0
2013-05-11 19:43:09,   2600,      17.91,           3,       0.08,      145.17,        0.17,       11.30,    2600,       0
2013-05-11 19:43:25,   2800,      16.38,           3,       0.08,      170.94,        0.18,       13.31,    2800,       0
2013-05-11 19:43:44,   3000,      18.66,           4,       0.08,      160.77,        0.21,       13.67,    3000,       0
2013-05-11 19:44:01,   3200,      17.60,           4,       0.11,      181.82,        0.23,       19.49,    3200,       0
2013-05-11 19:44:19,   3400,      17.34,           4,       0.11,      196.08,        0.23,       20.63,    3400,       0
2013-05-11 19:44:39,   3600,      20.10,           4,       0.17,      179.10,        0.20,       30.13,    3600,       0
2013-05-11 19:44:57,   3800,      17.69,           5,       0.10,      214.81,        0.28,       21.80,    3800,       0
2013-05-11 19:45:15,   4000,      18.10,           5,       0.11,      220.99,        0.28,       23.90,    4000,       0
2013-05-11 19:45:32,   4200,      17.20,           5,       0.14,      244.19,        0.29,       33.23,    4200,       0
2013-05-11 19:45:51,   4400,      18.61,           5,       0.14,      236.43,        0.27,       34.25,    4400,       0
2013-05-11 19:46:09,   4600,      18.73,           6,       0.14,      245.60,        0.32,       34.73,    4600,       0
2013-05-11 19:46:28,   4800,      18.97,           6,       0.16,      253.03,        0.32,       40.73,    4800,       0
2013-05-11 19:46:53,   5000,      24.10,           6,       0.28,      207.47,        0.25,       57.08,    5000,       0
